Subject,Date,Trial,File,0,30,60,90,120,150,180,210,240,270,FinalScore
31,6/1,3,kin_stat1_2016Y_06M_01D_14h_06m_46s_S3-subject-31_trials_3.mat,29,31,30,30,30,31,30,29,31,31,11
31,6/8,1,kin_stat1_2016Y_06M_08D_13h_12m_14s_S3-subject-31_trials_3.mat,32,32,32,32,31,32,30,30,31,30,22
50,5/25,2,kin_stat1_2017Y_05M_25D_08h_48m_44s_S3-subject-50_trials_2.mat,31,32,32,32,31,31,32,31,31,31,24
50,6/8,1,kin_stat1_2017Y_06M_08D_08h_45m_17s_S3-subject-50_trials_2.mat,31,31,31,31,31,31,32,32,31,31,22
50,6/14,2,kin_stat1_2017Y_06M_14D_08h_18m_48s_S3-subject-50_trials_3.mat,31,30,30,31,32,31,31,31,30,30,17
29,1/27,1,kin_stat1_2016Y_01M_27D_12h_52m_03s_S3-subject-29_trials_1.mat,30,30,29,31,30,31,31,31,31,31,14
29,2/5,2,kin_stat1_2016Y_02M_05D_12h_17m_29s_S3-subject-29_trials_2.mat,32,32,32,31,32,31,31,31,31,31,24
28,1/04,2,kin_stat1_2016Y_01M_04D_12h_17m_46s_S3-subject-28_trials_2.mat,33,32,32,33,32,31,32,32,32,31,30
28,1/14,1,kin_stat1_2016Y_01M_14D_11h_29m_02s_S3-subject-28_trials_2.mat,32,30,31,32,28,31,30,31,32,32,18
28,1/19,1,kin_stat1_2016Y_01M_19D_13h_56m_36s_S3-subject-28_trials_2.mat,30,31,30,31,30,31,31,30,30,32,16
28,1/28,1,kin_stat1_2016Y_01M_28D_12h_18m_05s_S3-subject-28_trials_1.mat,32,32,31,32,32,33,32,32,33,32,31
28,2/02,1,kin_stat1_2016Y_02M_02D_11h_04m_52s_S3-subject-28_trials_3.mat,31,31,30,31,30,32,32,33,32,32,24
52,12/18,1,kin_stat1_2017Y_12M_18D_14h_42m_15s_S3-subject-52_trials_3.mat,29,32,29,31,29,31,30,31,29,31,8
52,1/23,1,kin_stat1_2018Y_01M_23D_14h_44m_21s_S3-subject-52_trials_3.mat,28,28,31,30,31,31,31,32,31,32,13
52,2/01,3,kin_stat1_2018Y_02M_01D_13h_17m_50s_S3-subject-52_trials_3.mat,31,30,30,30,28,28,31,30,30,31,7
52,2/15,3,kin_stat1_2018Y_02M_15D_12h_55m_56s_S3-subject-52_trials_3.mat,28,31,31,28,30,31,31,31,31,29,8
305,5/18,2,kin_stat1_2017Y_05M_18D_11h_18m_19s_S3-subject-305_trials_2.mat,31,32,32,32,32,32,32,28,32,32,24
